hf_rank,bgg_rank,name,hyperfixation
668,894,Unfair,1.3947
669,560,Deus,1.3941
670,83,Five Tribes: The Djinns of Naqala,1.3936
671,664,Weather Machine,1.393
672,797,Trismegistus: The Ultimate Formula,1.3924
673,147,Clank! In! Space!: A Deck-Building Adventure,1.3921
674,546,Shadows over Camelot,1.3897
675,54,Blood Rage,1.3889
676,66,Power Grid,1.3887
677,381,Bonfire,1.3887
678,823,Messina 1347,1.3879
679,676,The Colonists,1.3878
680,424,Hannibal: Rome vs. Carthage,1.3871
681,426,Expeditions,1.3868
682,52,Anachrony,1.3866
683,248,Nations,1.3865
684,258,La Granja,1.3863
685,181,Nucleum,1.3838
686,85,Eclipse: New Dawn for the Galaxy,1.3836
687,306,Tiletum,1.3822
688,574,World Wonders,1.3822
689,605,Wabash Cannonball,1.3816
690,190,Marco Polo II: In the Service of the Khan,1.3793
691,199,War of the Ring,1.3784
692,562,Mansions of Madness,1.3782
693,294,Lewis & Clark: The Expedition,1.3767
694,466,Evolution: Climate,1.3765
695,735,Mille Fiori,1.3764
696,587,1846: The Race for the Midwest,1.3758
697,453,In the Year of the Dragon,1.375
698,288,Anno 1800: The Board Game,1.3739
699,995,Pictomania,1.3731
700,193,Xia: Legends of a Drift System,1.37
701,650,Queendomino,1.3697
702,703,Golem,1.3692
703,187,Glen More II: Chronicles,1.369
704,167,Alchemists,1.3685
705,559,Sheriff of Nottingham,1.3675
706,972,Zoo Vadis,1.3672
707,209,Sekigahara: The Unification of Japan,1.3669
708,851,Khôra: Rise of an Empire,1.3658
709,738,Fort,1.3656
710,470,Firefly: The Game,1.3654
711,203,Star Wars: Outer Rim,1.3651
712,567,Imhotep,1.3651
713,792,Century: A New World,1.3651
714,904,Hannibal & Hamilcar,1.3642
715,211,Great Western Trail: Argentina,1.3626
716,222,A Game of Thrones: The Board Game (Second Edition),1.3621
717,136,Trajan,1.3606
718,629,Archipelago,1.3604
719,459,Boonlake,1.3581
720,909,Inventions: Evolution of Ideas,1.3556
721,333,Apiary,1.3551
722,491,Stockpile,1.3529
723,96,Concordia Venus,1.3508
724,119,Dwellings of Eldervale,1.3498
725,763,The Magnificent,1.3498
726,816,City of the Big Shoulders,1.3483
727,918,Clinic: Deluxe Edition,1.3472
728,277,Vindication,1.3464
729,968,Evacuation,1.3458
730,72,The Gallerist,1.3457
